Rowid,Country,State lgd code,State,District lgd code,District,Year,Households that applied for a job card,Job cards issued,Job cards issued for scheduled caste,Job cards issued for scheduled tribes,Job cards issued for non scheduled tribes or scheduled caste,Households that demanded work,Persons who demanded work,Households that were allotted work,Persons that were allotted work,Muster rolls filled,Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Households that reached a 100 day limit,Persons with disability,Non scheduled tribes or scheduled caste houeholds that worked,Total person days worked by non scheduled tribes or scheduled caste persons.,Scheduled caste houeholds that worked,Total person days worked scheduled caste persons,Scheduled tribe houeholds that worked,Total person days worked scheduled tribe persons,Households that worked on land reform or indira awas yojana,Total person days worked by women,Total person days,Scheduled caste households that reached a 100 day limit,Scheduled tribe households that reached a 100 day limit,Labour expenditure that has been disbursed,Material expenditure that has been disbursed,Labour expenditure both disbursed and pending,Material expenditure both disbursed and pending,Amount sanctioned,Works under mahatma gandhi national rural employment guarantee act (mgnrega),Total bank accounts,Individual bank accounts,Joint bank accounts,Amount disbursed to bank accounts,Post office accounts,Individual post office accounts,Joint post office accounts,Amount disbursed to post office accounts
5991,India,29,Karnataka,532,Chikkamagaluru,2011-12,131608,131561,30236,5646,95679,50845,151147,50845,151146,9901,50705,150778,1895,253,39187,1950494,9646,473478,1872,76634,3445,1163222,2500606,388,49,2812.930,1745.700,2812.930,1745.960,3156170.630,59265,83282,17390,65892,268818337,8232,2318,5914,25213737
5992,India,29,Karnataka,532,Chikkamagaluru,2012-13,129897,129811,29728,5569,94514,28806,81182,28801,81171,4859,27615,77521,440,301,21782,754066,4696,152035,1137,34341,1503,428475,940442,62,11,1591.720,773.790,1595.170,792.160,9385467.180,56399,90901,17001,73900,140554742,5940,1670,4270,5361227
5993,India,29,Karnataka,532,Chikkamagaluru,2013-14,128335,128208,28973,5501,93734,40553,114214,40245,113299,17685,36912,103289,699,501,28174,1023814,7164,249342,1574,46161,1827,609998,1319317,122,12,2006.010,636.600,2015.680,650.270,18368814.650,125121,101616,18369,83247,197077361,5053,1472,3581,72230
5994,India,29,Karnataka,532,Chikkamagaluru,2014-15,130591,130589,29830,5723,95036,43050,111971,42307,109843,16036,30804,83950,447,273,23110,790918,6436,193840,1258,37435,1650,476906,1022193,56,9,2416.450,1222.400,2422.940,1234.100,7492486.600,123636,104729,19843,84886,226264331,4580,1390,3190,0
5995,India,29,Karnataka,532,Chikkamagaluru,2015-16,133274,133271,30414,6013,96844,43290,104601,41826,101002,17911,29807,73585,1567,166,22362,932935,5963,235936,1482,52770,1644,566968,1221641,247,26,2129.240,1018.040,2146.660,1034.300,8769459.300,107361,113831,26214,87617,210731738,3841,1248,2593,0
5996,India,29,Karnataka,532,Chikkamagaluru,2016-17,133718,133702,29942,6056,97704,51748,130887,49841,125594,30083,44042,110083,2402,239,33712,1623680,8484,366955,1846,76063,2256,953388,2066698,305,48,5007.770,2838.740,5040.950,2908.600,13920248.360,120077,187808,149943,37865,446998841,3265,1155,2110,0
5997,India,29,Karnataka,532,Chikkamagaluru,2017-18,136650,136591,30359,6157,100075,50535,112833,48895,107534,35282,45660,98823,1224,219,35069,1636933,8772,400213,1819,78217,2159,968579,2115363,226,52,4962.930,1867.730,4992.350,1891.040,12332146.180,128980,223675,206228,17447,473647159,2893,1120,1773,0
5998,India,29,Karnataka,532,Chikkamagaluru,2018-19,141226,141140,30913,6323,103904,52370,107490,51030,102356,41775,48314,95612,4261,174,38027,1912023,8434,367675,1853,81081,2136,1075314,2360779,498,67,5586.690,2088.760,5604.480,2119.220,3143011.450,133664,239205,222689,16516,562669047,2772,1125,1647,0
5999,India,29,Karnataka,532,Chikkamagaluru,2019-20,146563,146561,32674,6539,107348,54310,109585,52921,104919,38091,50744,99595,2507,164,40727,2126755,8348,376647,1669,73973,0,1193764,2577375,0,0,6850.330,4214.510,6850.510,4325.180,1351057.720,150961,267013,251520,15493,677346668,2658,1114,1544,0
6000,India,29,Karnataka,532,Chikkamagaluru,2020-21,156812,156809,34515,6946,115348,67214,135539,65911,130915,67041,64021,126057,7153,192,50319,2619151,11472,505256,2230,95028,0,1555743,3219435,0,0,8924.890,4049.120,8945.770,6826.370,1106390.740,296055,268289,253062,15227,882342051,2645,1110,1535,0
6001,India,29,Karnataka,533,Chitradurga,2011-12,239867,239844,49661,46185,143998,94799,265544,94789,265501,14921,94384,264307,1027,370,56197,2631831,19789,915875,18398,930301,8206,2032729,4478007,169,234,6915.500,4208.850,6955.760,4241.360,215086.760,53990,133395,48150,85245,614558861,99259,39119,60140,431800996
6002,India,29,Karnataka,533,Chitradurga,2012-13,247851,247508,50585,46601,150322,111211,327501,111194,327450,32383,105810,308816,9072,456,65390,3764466,22026,1241615,18394,1025982,8415,2752802,6032063,1934,1351,6015.800,3763.360,6319.060,4279.380,18366910.060,107568,217874,58937,158937,503965663,33488,14329,19159,45816701
6003,India,29,Karnataka,533,Chitradurga,2013-14,255846,255720,51609,47212,156899,131310,423579,130836,421881,27557,74322,225059,7783,334,46757,2879131,14632,891635,12933,807738,6856,2108177,4578504,1534,1103,12769.230,5256.660,12834.840,5683.590,34277836.230,194627,216859,60311,156548,1176634990,29407,12819,16588,2828440
