scheme,variable,coefficient,p_value,ci_lower,ci_upper,significant_05
Health Insurance,state_himachal pradesh,-27.678809642920932,6.597208769858335e-26,-32.832951755831644,-22.524667530010216,True
Health Insurance,state_jammu and kashmir,-13.879998034450635,1.2623198160268596e-08,-18.66015490092304,-9.09984116797823,True
Health Insurance,state_jharkhand,-58.23783461874889,9.05502221166135e-121,-63.12247653752124,-53.353192699976546,True
Health Insurance,state_karnataka,-29.552337207490368,5.721095283028025e-39,-33.98804831180948,-25.116626103171257,True
Health Insurance,state_kerala,-52.627008652850606,3.8275563378592914e-84,-57.93401385314571,-47.320003452555504,True
Health Insurance,state_ladakh,-15.681514584140993,1.2584270608266098e-05,-22.719232353709828,-8.643796814572159,True
Health Insurance,state_lakshadweep,-66.06161606344841,0.9624766847383879,-2818.2360911289825,2686.1128590020853,False
Health Insurance,state_madhya pradesh,-41.47016784802825,1.2911703938561983e-67,-46.14833728712445,-36.791998408932045,True
Health Insurance,state_maharashtra,-22.421983984122388,1.0485760556094803e-25,-26.6146569449243,-18.229311023320477,True
Health Insurance,state_manipur,-15.877388421211178,1.8783174671679133e-06,-22.406657487543626,-9.348119354878731,True
Health Insurance,state_meghalaya,-75.89903656185172,1.098546358322294e-96,-83.02842226264374,-68.76965086105969,True
Health Insurance,state_mizoram,-51.88424402939793,4.499942523935534e-22,-62.4123180740267,-41.35616998476915,True
Health Insurance,state_nagaland,-33.00375749028457,2.4182494604987635e-09,-43.844618404800215,-22.162896575768926,True
Health Insurance,state_odisha,-43.9465258771082,1.576470143809333e-78,-48.53764442401752,-39.35540733019888,True
Health Insurance,state_puducherry,-32.920624910095874,9.733800865991417e-19,-40.221182032612106,-25.620067787579643,True
Health Insurance,state_punjab,-32.35411778693991,1.587834273772964e-34,-37.52874977532982,-27.179485798549997,True
Health Insurance,state_rajasthan,-91.77652003468224,0.0,-95.91790561867764,-87.63513445068683,True
Health Insurance,state_sikkim,-22.4150364054535,1.2621250547971522e-06,-31.481492602533695,-13.348580208373303,True
Health Insurance,state_tamil nadu,-65.31361855006116,6.303259396806937e-184,-69.73973154695341,-60.887505553168914,True
Health Insurance,state_telangana,-63.456487349033885,2.0578871681673352e-151,-68.20176215067937,-58.711212547388406,True
Health Insurance,state_tripura,-38.24860716239226,8.413321554327652e-37,-44.16430336612263,-32.33291095866189,True
Health Insurance,state_uttar pradesh,-24.44057819520282,5.292168380573601e-26,-28.982771814704517,-19.898384575701126,True
Health Insurance,state_uttarakhand,-68.38486435449413,2.3887499293069454e-146,-73.58763820185823,-63.18209050713002,True
Health Insurance,state_west bengal,-29.405243547671255,8.069491048302841e-36,-34.018185421722876,-24.792301673619637,True
