state,district,cluster,cluster_label,mgnrega_gap_pct,health_insurance_gap_pct,combined_gap_score
madhya pradesh,panna,0,High-gap Rural Low-literacy,20.280771105214708,87.4,53.84038555260736
madhya pradesh,raisen,0,High-gap Rural Low-literacy,17.21524208934188,59.0,38.10762104467094
madhya pradesh,rajgarh,0,High-gap Rural Low-literacy,10.160133473227953,72.9,41.53006673661398
madhya pradesh,ratlam,0,High-gap Rural Low-literacy,12.752070002422721,62.1,37.42603500121136
madhya pradesh,rewa,0,High-gap Rural Low-literacy,19.89684708193903,70.6,45.24842354096951
madhya pradesh,sagar,0,High-gap Rural Low-literacy,23.418613145033653,72.5,47.95930657251682
madhya pradesh,satna,0,High-gap Rural Low-literacy,13.080544300536337,78.0,45.540272150268166
madhya pradesh,sehore,0,High-gap Rural Low-literacy,23.35252584685215,66.8,45.07626292342607
madhya pradesh,seoni,1,Moderate-gap Rural,11.12002236807252,55.4,33.26001118403626
madhya pradesh,shahdol,1,Moderate-gap Rural,18.83761868712205,41.6,30.218809343561027
madhya pradesh,shajapur,0,High-gap Rural Low-literacy,7.438956457153467,65.7,36.569478228576735
madhya pradesh,sheopur,0,High-gap Rural Low-literacy,16.6695437924703,72.9,44.784771896235156
madhya pradesh,shivpuri,0,High-gap Rural Low-literacy,14.478733792038511,61.1,37.78936689601926
madhya pradesh,sidhi,0,High-gap Rural Low-literacy,14.808658484765166,73.9,44.35432924238258
madhya pradesh,singrauli,1,Moderate-gap Rural,11.685591182841772,41.5,26.592795591420888
madhya pradesh,tikamgarh,0,High-gap Rural Low-literacy,12.463878871826708,59.5,35.981939435913354
madhya pradesh,ujjain,0,High-gap Rural Low-literacy,11.531431622615159,64.3,37.91571581130758
madhya pradesh,umaria,0,High-gap Rural Low-literacy,14.140922069310816,80.1,47.120461034655406
madhya pradesh,vidisha,1,Moderate-gap Rural,12.412884294040131,51.8,32.10644214702006
maharashtra,ahmadnagar,2,Moderate-gap Mixed,13.005112574968047,88.0,50.502556287484026
maharashtra,akola,2,Moderate-gap Mixed,10.946685586863977,59.9,35.423342793431985
maharashtra,amravati,2,Moderate-gap Mixed,8.564922877585435,68.1,38.33246143879271
maharashtra,aurangabad,2,Moderate-gap Mixed,13.005112574968047,87.6,50.30255628748402
maharashtra,bhandara,2,Moderate-gap Mixed,14.872172474129671,70.0,42.436086237064835
maharashtra,bid,0,High-gap Rural Low-literacy,13.005112574968047,90.7,51.85255628748403
maharashtra,buldana,2,Moderate-gap Mixed,13.005112574968047,62.1,37.55255628748402
maharashtra,chandrapur,2,Moderate-gap Mixed,11.557961154284218,71.1,41.328980577142104
maharashtra,dhule,0,High-gap Rural Low-literacy,9.091925743681504,80.2,44.64596287184075
maharashtra,gadchiroli,3,Moderate-gap Mixed,11.398786527670463,66.7,39.049393263835235
maharashtra,gondiya,2,Moderate-gap Mixed,13.005112574968047,69.4,41.20255628748403
maharashtra,hingoli,0,High-gap Rural Low-literacy,9.017088296970508,85.3,47.158544148485255
maharashtra,jalgaon,2,Moderate-gap Mixed,8.956140872426026,88.1,48.528070436213014
maharashtra,jalna,0,High-gap Rural Low-literacy,22.589892546607434,90.3,56.444946273303714
maharashtra,kolhapur,2,Moderate-gap Mixed,5.228841728458194,83.5,44.364420864229096
maharashtra,latur,2,Moderate-gap Mixed,8.552140368342458,66.4,37.476070184171235
maharashtra,mumbai,2,Moderate-gap Mixed,13.005112574968047,69.3,41.152556287484025
maharashtra,mumbai suburban,2,Moderate-gap Mixed,13.005112574968047,79.8,46.402556287484025
maharashtra,nagpur,2,Moderate-gap Mixed,5.1747474259196595,74.4,39.787373712959834
maharashtra,nanded,0,High-gap Rural Low-literacy,11.962799462581355,84.3,48.13139973129068
maharashtra,nandurbar,0,High-gap Rural Low-literacy,7.917842583882095,84.7,46.30892129194105
maharashtra,nashik,2,Moderate-gap Mixed,6.910946196660482,85.3,46.105473098330236
maharashtra,osmanabad,2,Moderate-gap Mixed,19.024556828412653,85.2,52.11227841420633
maharashtra,palghar,2,Moderate-gap Mixed,8.410569907316116,81.2,44.80528495365806
maharashtra,parbhani,0,High-gap Rural Low-literacy,18.056405028882093,89.5,53.77820251444105
maharashtra,pune,2,Moderate-gap Mixed,10.857508532423209,85.6,48.2287542662116
maharashtra,raigarh,2,Moderate-gap Mixed,13.005112574968047,73.7,43.35255628748403
maharashtra,ratnagiri,2,Moderate-gap Mixed,5.763578650364449,83.4,44.58178932518223
maharashtra,sangli,2,Moderate-gap Mixed,13.07936809146544,87.7,50.38968404573272
